IATACode,ICAOCode,Model,Aircraft_Manufacturer,WingType,Type,Manufacturer
ND2,N262,Aerospatiale (Nord) 262,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
738,B738,Boeing 737-800,Boeing,Fixed Wing,Airplane,Boeing
AT4,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
332,A332,Airbus A330-200,Airbus,Fixed Wing,Airplane,Airbus
320,A320,Airbus A320,Airbus,Fixed Wing,Airplane,Airbus
BEH,B190,Beechcraft 1900,Beechcraft,Fixed Wing,Airplane,Beechcraft
AR1,RJ1H,Avro RJ100,Avro International Aerospace,Fixed Wing,Airplane,Avro International Aerospace
739,B739,Boeing 737-900,Boeing,Fixed Wing,Airplane,Boeing
743,B743,Boeing 747-300,Boeing,Fixed Wing,Airplane,Boeing
(undefined),EA30,Airbus A300 (deprecated 1997: code replaced),Airbus,Fixed Wing,Airplane,Airbus
703,B703,Boeing 707,Boeing,Fixed Wing,Airplane,Boeing
319,A319,Airbus A319,Airbus,Fixed Wing,Airplane,Airbus
AB6,A306,Airbus A300-600,Airbus,Fixed Wing,Airplane,Airbus
7MJ,B3XM,Boeing 737 MAX 10,Boeing,Fixed Wing,Airplane,Boeing
N/A,CH7B,"7GCAA, 7GCBC, 7KCAB Citabria",Champion Aircraft Corporation,Fixed Wing,Airplane,Champion Aircraft Corporation
(undefined),EA34,Airbus A340 (deprecated 1997: code replaced),Airbus,Fixed Wing,Airplane,Airbus
A5F,A225,Antonov An-225 Mriya,Antonov,Fixed Wing,Airplane,Antonov
742,B742,Boeing 747-200,Boeing,Fixed Wing,Airplane,Boeing
735,B735,Boeing 737-500,Boeing,Fixed Wing,Airplane,Boeing
AN4,AN24,Antonov AN-24,Antonov,Fixed Wing,Airplane,Antonov
ATR,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale,Fixed Wing,Airplane,Aerospatiale
74J,B74D,Boeing 747-400D (deprecated 2018: no longer flying),Boeing,Fixed Wing,Airplane,Boeing
74N,B748,Boeing 747-8F,Boeing,Fixed Wing,Airplane,Boeing
74H,B748,Boeing 747-8I,Boeing,Fixed Wing,Airplane,Boeing
74V,B74R,Boeing 747SR Freighter,Boeing,Fixed Wing,Airplane,Boeing
74E,B744,Boeing 747-400M,Boeing,Fixed Wing,Airplane,Boeing
74Y,B744,Boeing 747-400F,Boeing,Fixed Wing,Airplane,Boeing
763,B763,Boeing 767-300,Boeing,Fixed Wing,Airplane,Boeing
773,B773,Boeing 777-300,Boeing,Fixed Wing,Airplane,Boeing
788,B788,Boeing 787-8,Boeing,Fixed Wing,Airplane,Boeing
74R,B74R,Boeing 747SR,Boeing,Fixed Wing,Airplane,Boeing
74L,B74S,Boeing 747SP,Boeing,Fixed Wing,Airplane,Boeing
753,B753,Boeing 757-300,Boeing,Fixed Wing,Airplane,Boeing
772,B772,Boeing 777-200 / Boeing 777-200ER,Boeing,Fixed Wing,Airplane,Boeing
752,B752,Boeing 757-200,Boeing,Fixed Wing,Airplane,Boeing
CCX,GLEX,Bombardier Global Express / Raytheon Sentinel,Bombardier,Fixed Wing,Airplane,Bombardier
778,B778,Boeing 777-8,Boeing,Fixed Wing,Airplane,Boeing
N/A,CL2T,Bombardier 415,Bombardier,Fixed Wing,Airplane,Bombardier
762,B762,Boeing 767-200,Boeing,Fixed Wing,Airplane,Boeing
75F,B752,Boeing 757F,Boeing,Fixed Wing,Airplane,Boeing
H25,H25B,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900,Hawker Beechcraft Corporation,Fixed Wing,Airplane,Hawker Beechcraft Corporation
77L,B77L,Boeing 777-200LR,Boeing,Fixed Wing,Airplane,Boeing
77X,B77L,Boeing 777-200 Freighter,Boeing,Fixed Wing,Airplane,Boeing
764,B764,Boeing 767-400ER,Boeing,Fixed Wing,Airplane,Boeing
J41,JS41,British Aerospace Jetstream 41,(undefined),Fixed Wing,Airplane,British Aerospace
779,B779,Boeing 777-9,Boeing,Fixed Wing,Airplane,Boeing
781,B78X,Boeing 787-10,Boeing,Fixed Wing,Airplane,Boeing
CR7,CRJ7,Canadair Regional Jet 700 | Regional Jet 550,Bombardier,Fixed Wing,Airplane,Bombardier
N/A,CL30,Bombardier BD-100 Challenger 300,Bombardier,Fixed Wing,Airplane,Bombardier
CCX,GL5T,Bombardier BD-700 Global 5000,Bombardier,Fixed Wing,Airplane,Bombardier
CN1,C162,Cessna 162,Cessna,Fixed Wing,Airplane,Cessna
J31,JS31,British Aerospace Jetstream 31,(undefined),Fixed Wing,Airplane,British Aerospace
H25,H25C,British Aerospace 125-1000 series / Hawker/Raytheon 1000,Hawker Beechcraft Corporation,Fixed Wing,Airplane,Hawker Beechcraft Corporation
ATP,ATP,British Aerospace ATP,(undefined),Fixed Wing,Airplane,British Aerospace
CN1,C206,Cessna 206 Stationair,Cessna,Fixed Wing,Airplane,Cessna
CCJ,CL60,Canadair Challenger,Bombardier,Fixed Wing,Airplane,Bombardier
CRK,CRJX,Canadair Regional Jet 1000,Bombardier,Fixed Wing,Airplane,Bombardier
CR9,CRJ9,Canadair Regional Jet 900,Bombardier,Fixed Wing,Airplane,Bombardier
CS5,CN35,CASA/IPTN CN-235,Indonesian Aerospace,Fixed Wing,Airplane,Indonesian Aerospace
77W,B77W,Boeing 777-300ER,Boeing,Fixed Wing,Airplane,Boeing
CR1,CRJ1,Canadair Regional Jet 100,Bombardier,Fixed Wing,Airplane,Bombardier
CNJ,C25B,Cessna Citation CJ3,Cessna,Fixed Wing,Airplane,Cessna
CN1,C77R,Cessna 177 Cardinal RG,Cessna,Fixed Wing,Airplane,Cessna
CN1,C172,Cessna 172,Cessna,Fixed Wing,Airplane,Cessna
CNJ,C650,"Cessna Citation III, VI, VII",Cessna,Fixed Wing,Airplane,Cessna
CN1,C208,Cessna 208 Caravan,Cessna,Fixed Wing,Airplane,Cessna
N/A,C310,Cessna 310,Cessna,Fixed Wing,Airplane,Cessna
CNJ,C525,Cessna CitationJet,Cessna,Fixed Wing,Airplane,Cessna
789,B789,Boeing 787-9,Boeing,Fixed Wing,Airplane,Boeing
CV5,CVLT,"Convair CV-580, Convair CV-600, Convair CV-640",Convair,Fixed Wing,Airplane,Convair
CNJ,C25C,Cessna Citation CJ4,Cessna,Fixed Wing,Airplane,Cessna
B11,BA11,British Aerospace (BAC) One Eleven,British Aircraft Corporation,Fixed Wing,Airplane,British Aircraft Corporation
DF9,F900,Dassault Falcon 900,Dassault Falcon,Fixed Wing,Airplane,Dassault Falcon
CS2,C212,CASA / IPTN 212 Aviocar,Indonesian Aerospace,Fixed Wing,Airplane,Indonesian Aerospace
CNJ,C510,Cessna Citation Mustang,Cessna,Fixed Wing,Airplane,Cessna
J32,JS32,British Aerospace Jetstream 32,(undefined),Fixed Wing,Airplane,British Aerospace
CNJ,C500,Cessna Citation I,Cessna,Fixed Wing,Airplane,Cessna
(undefined),SF50,Cirrus SF50 Vision Jet,Cirrus,Fixed Wing,Airplane,Cirrus
DHC,DHC5,De Havilland Canada DHC-5 Buffalo,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
CR2,CRJ2,Canadair Regional Jet 200,Bombardier,Fixed Wing,Airplane,Bombardier
CWC,C46,Curtiss C-46 Commando,Curtiss-Wright,Fixed Wing,Airplane,Curtiss-Wright
DH3,DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
N/A,C152,Cessna 152,Cessna,Fixed Wing,Airplane,Cessna
DHP,DHC2,De Havilland Canada DHC-2 Beaver,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
DHH,HERN,De Havilland DH.114 Heron,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
CN1,C182,Cessna 182 Skylane,Cessna,Fixed Wing,Airplane,Cessna
DHT,DHC6,De Havilland Canada DHC-6 Twin Otter,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
D1Y,DC10,Douglas DC-10-30 / -40 Freighter,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
CN1,C72R,Cessna 172 Cutlass RG,Cessna,Fixed Wing,Airplane,Cessna
CNJ,C25A,Cessna Citation CJ2,Cessna,Fixed Wing,Airplane,Cessna
D8T,DC85,Douglas DC-8-50,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
DH4,DH8D,De Havilland Canada DHC-8-400 Dash 8Q,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
CNJ,C550,Cessna Citation II,Cessna,Fixed Wing,Airplane,Cessna
N/A,DA42,Diamond DA42,Diamond Aircraft Industries,Fixed Wing,Airplane,Diamond Aircraft Industries
CNJ,C750,Cessna Citation X,Cessna,Fixed Wing,Airplane,Cessna
CNJ,C560,Cessna Citation V,Cessna,Fixed Wing,Airplane,Cessna
D1C,DC10,Douglas DC-10-30 / -40 Passenger,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
CN1,C210,Cessna 210 Centurion,Cessna,Fixed Wing,Airplane,Cessna
CV4,CVLP,Convair CV-240 & -440,Convair,Fixed Wing,Airplane,Convair
DF7,FA7X,Dassault Falcon 7X,Dassault Falcon,Fixed Wing,Airplane,Dassault Falcon
DHC,DHC4,De Havilland Canada DHC-4 Caribou,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
SSC,CONC,Concorde,Airbus,Fixed Wing,Airplane,"Airbus, A?rospatiale, BAE Systems, Sud Aviation, British Aerospace, British Aircraft Corporation"
DH2,DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
CNJ,C56X,Cessna Citation Excel,Cessna,Fixed Wing,Airplane,Cessna
DHD,DOVE,De Havilland DH.104 Dove,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
D1X,DC10,Douglas DC-10-10 Freighter,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D6F,DC6,Douglas DC-6,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
DF3,FA50,Dassault Falcon 50,Dassault Falcon,Fixed Wing,Airplane,Dassault Falcon
CNJ,C680,Cessna Citation Sovereign,Cessna,Fixed Wing,Airplane,Cessna
N/A,C919,COMAC C919,China Commercial Aircraft,Fixed Wing,Airplane,China Commercial Aircraft
DHL,DHC3,De Havilland Canada DHC-3 Otter,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
DH1,DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
D20,F2TH,Dassault Falcon 2000,Dassault Falcon,Fixed Wing,Airplane,Dassault Falcon
